log_id,timestamp,WindForecastAvr,WindForecastMax,Temperature,row_id,WindDirection,iso_time
15844,1760961600000,10,20,15.8,16,189,2025-10-20T12:00:00Z
15845,1760965200000,10,20,16.0,17,188,2025-10-20T13:00:00Z
15846,1760968800000,11,20,16.3,18,182,2025-10-20T14:00:00Z
15847,1760972400000,8,16,15.5,19,174,2025-10-20T15:00:00Z
15848,1760976000000,9,17,16.0,20,173,2025-10-20T16:00:00Z
15849,1760979600000,9,16,15.1,21,155,2025-10-20T17:00:00Z
15850,1760983200000,9,18,14.5,22,161,2025-10-20T18:00:00Z
15851,1760986800000,10,18,15.0,23,175,2025-10-20T19:00:00Z
15852,1760990400000,10,18,13.5,24,163,2025-10-20T20:00:00Z
15853,1760994000000,9,18,13.5,25,166,2025-10-20T21:00:00Z
15854,1760997600000,11,19,13.8,26,175,2025-10-20T22:00:00Z
15855,1761001200000,11,20,13.6,27,178,2025-10-20T23:00:00Z
15856,1761004800000,11,21,13.7,28,170,2025-10-21T00:00:00Z
15857,1761008400000,11,22,13.3,29,152,2025-10-21T01:00:00Z
15858,1761012000000,14,25,13.4,30,201,2025-10-21T02:00:00Z
15859,1761015600000,11,25,13.8,31,218,2025-10-21T03:00:00Z
15860,1761019200000,16,31,14.4,32,257,2025-10-21T04:00:00Z
15861,1761022800000,15,29,14.1,33,251,2025-10-21T05:00:00Z
15862,1761026400000,14,28,13.8,34,253,2025-10-21T06:00:00Z
15863,1761030000000,14,28,13.7,35,257,2025-10-21T07:00:00Z
15864,1761033600000,14,25,14.1,36,248,2025-10-21T08:00:00Z
15865,1761037200000,13,26,14.2,37,248,2025-10-21T09:00:00Z
15866,1761040800000,12,22,14.2,38,243,2025-10-21T10:00:00Z
15867,1761044400000,13,23,14.8,39,236,2025-10-21T11:00:00Z
15868,1761048000000,11,23,14.3,40,227,2025-10-21T12:00:00Z
