log_id,timestamp,AverageWind,MaxWind,MinWind,WaterTemperatuur,AccuTemperatuur,row_id,longitude,latitude,WindDirection,iso_time
324335,1764637338000,14,19,9,0,7.5,260,0,0,183,2025-12-02T01:02:18Z
324336,1764637699000,13,20,8,0,7.5,261,0,0,183,2025-12-02T01:08:19Z
324337,1764638058000,12,17,9,0,7.5,262,0,0,188,2025-12-02T01:14:18Z
324338,1764638239000,13,16,10,0,7.5,263,0,0,185,2025-12-02T01:17:19Z
324340,1764638604000,14,19,10,0,7.5,264,0,0,184,2025-12-02T01:23:24Z
324341,1764638778000,13,18,11,0,7.5,265,0,0,186,2025-12-02T01:26:18Z
324342,1764639318000,13,19,10,0,7.5,266,0,0,185,2025-12-02T01:35:18Z
324343,1764639499000,13,18,10,0,8.5,267,0,0,179,2025-12-02T01:38:19Z
324344,1764640039000,11,14,8,0,8.5,268,0,0,183,2025-12-02T01:47:19Z
324345,1764640221000,11,15,9,0,8.5,269,0,0,184,2025-12-02T01:50:21Z
324346,1764640579000,13,23,8,0,8.5,270,0,0,190,2025-12-02T01:56:19Z
324347,1764640939000,17,26,11,0,8.5,271,0,0,193,2025-12-02T02:02:19Z
324348,1764641119000,16,23,12,0,8.5,272,0,0,189,2025-12-02T02:05:19Z
324349,1764641479000,18,23,11,0,8.5,273,0,0,193,2025-12-02T02:11:19Z
324350,1764641840000,18,23,12,0,8.5,274,0,0,187,2025-12-02T02:17:20Z
324351,1764642019000,19,29,12,0,9.0,275,0,0,197,2025-12-02T02:20:19Z
324352,1764642559000,18,24,14,0,9.0,276,0,0,192,2025-12-02T02:29:19Z
324353,1764642919000,15,20,12,0,9.0,277,0,0,196,2025-12-02T02:35:19Z
324354,1764643099000,15,20,10,0,8.5,278,0,0,190,2025-12-02T02:38:19Z
324355,1764643459000,18,23,14,0,8.5,279,0,0,194,2025-12-02T02:44:19Z
324356,1764643820000,16,23,10,0,8.5,280,0,0,189,2025-12-02T02:50:20Z
324357,1764643999000,15,20,10,0,8.0,281,0,0,194,2025-12-02T02:53:19Z
324358,1764644360000,13,17,11,0,8.0,282,0,0,190,2025-12-02T02:59:20Z
324359,1764644539000,14,20,10,0,8.0,283,0,0,194,2025-12-02T03:02:19Z
324360,1764644719000,13,18,11,0,8.0,284,0,0,195,2025-12-02T03:05:19Z
324361,1764645260000,13,17,10,0,8.5,285,0,0,192,2025-12-02T03:14:20Z
324362,1764645440000,13,17,10,0,8.5,286,0,0,193,2025-12-02T03:17:20Z
324363,1764645800000,13,19,10,0,8.5,287,0,0,191,2025-12-02T03:23:20Z
324364,1764645979000,15,20,11,0,8.5,288,0,0,187,2025-12-02T03:26:19Z
324365,1764646339000,14,18,10,0,8.5,289,0,0,192,2025-12-02T03:32:19Z
324366,1764646519000,14,17,11,0,8.5,290,0,0,192,2025-12-02T03:35:19Z
324367,1764646700000,13,16,11,0,8.5,291,0,0,189,2025-12-02T03:38:20Z
324368,1764647241000,14,19,10,0,8.5,292,0,0,191,2025-12-02T03:47:21Z
324369,1764647422000,15,19,11,0,8.5,293,0,0,194,2025-12-02T03:50:22Z
324370,1764647600000,12,16,9,0,8.5,294,0,0,186,2025-12-02T03:53:20Z
324371,1764647959000,16,24,12,0,8.0,295,0,0,190,2025-12-02T03:59:19Z
324372,1764648319000,13,18,10,0,8.0,296,0,0,189,2025-12-02T04:05:19Z
324374,1764648680000,12,16,8,0,8.0,297,0,0,192,2025-12-02T04:11:20Z
324375,1764649400000,12,15,9,0,8.0,298,0,0,191,2025-12-02T04:23:20Z
324376,1764649580000,14,19,10,0,8.0,299,0,0,183,2025-12-02T04:26:20Z
324377,1764650121000,12,18,9,0,8.0,300,0,0,189,2025-12-02T04:35:21Z
324378,1764650300000,12,19,8,0,8.0,301,0,0,187,2025-12-02T04:38:20Z
324379,1764650480000,13,16,11,0,8.0,302,0,0,190,2025-12-02T04:41:20Z
324380,1764650660000,13,17,9,0,8.0,303,0,0,191,2025-12-02T04:44:20Z
324381,1764650840000,12,15,10,0,8.0,304,0,0,193,2025-12-02T04:47:20Z
324382,1764651020000,11,14,8,0,8.0,305,0,0,193,2025-12-02T04:50:20Z
324383,1764651200000,12,17,8,0,8.0,306,0,0,191,2025-12-02T04:53:20Z
324384,1764651560000,13,19,11,0,8.0,307,0,0,191,2025-12-02T04:59:20Z
324385,1764651740000,12,16,7,0,8.0,308,0,0,188,2025-12-02T05:02:20Z
324386,1764652280000,13,19,9,0,8.0,309,0,0,193,2025-12-02T05:11:20Z
324387,1764652460000,11,15,9,0,8.0,310,0,0,186,2025-12-02T05:14:20Z
324388,1764653000000,12,15,10,0,8.0,311,0,0,187,2025-12-02T05:23:20Z
324389,1764653541000,12,15,9,0,8.0,312,0,0,188,2025-12-02T05:32:21Z
324390,1764653900000,15,19,11,0,8.0,313,0,0,192,2025-12-02T05:38:20Z
324391,1764654441000,14,18,10,0,8.0,314,0,0,191,2025-12-02T05:47:21Z
324392,1764654620000,12,16,9,0,8.0,315,0,0,192,2025-12-02T05:50:20Z
324393,1764654801000,13,16,9,0,7.5,316,0,0,197,2025-12-02T05:53:21Z
324394,1764654981000,12,17,9,0,8.0,317,0,0,193,2025-12-02T05:56:21Z
324395,1764655160000,13,17,10,0,8.0,318,0,0,193,2025-12-02T05:59:20Z
324396,1764655340000,12,16,9,0,7.5,319,0,0,190,2025-12-02T06:02:20Z
