timestamp,WindForecastAvr,WindForecastMax,Temperature,Pressure,WindDirection,Rain,RH,Clouds,low_cloud_cover,medium_cloud_cover,high_cloud_cover,cloud_base,global_radiation,iso_time
1771250400000,10,20,7.0,993,275,0.0,80,4,4,0,0,806,0,2026-02-16T14:00:00Z
1771254000000,12,22,5.8,994,274,0.0,87,100,100,100,5,444,0,2026-02-16T15:00:00Z
1771257600000,6,12,4.4,994,276,0.0,89,100,99,94,100,735,0,2026-02-16T16:00:00Z
1771261200000,2,3,4.2,994,215,0.0,88,100,93,0,100,611,0,2026-02-16T17:00:00Z
1771264800000,8,12,4.6,995,323,0.0,87,100,100,100,0,1182,0,2026-02-16T18:00:00Z
1771268400000,7,10,4.7,996,273,0.0,85,100,100,0,0,9999,0,2026-02-16T19:00:00Z
1771272000000,6,9,4.0,997,288,0.0,88,100,100,0,0,1185,0,2026-02-16T20:00:00Z
1771275600000,7,11,5.4,998,286,0.0,86,0,0,0,0,9999,0,2026-02-16T21:00:00Z
1771279200000,8,13,5.0,998,295,0.0,88,100,100,0,2,945,0,2026-02-16T22:00:00Z
1771282800000,7,13,5.1,998,277,0.0,89,100,7,99,100,4397,0,2026-02-16T23:00:00Z
1771286400000,7,25,4.6,1000,285,1.6,85,100,100,3,15,947,0,2026-02-17T00:00:00Z
1771290000000,6,12,4.3,1000,278,0.0,91,38,0,4,34,9999,0,2026-02-17T01:00:00Z
1771293600000,10,18,5.4,1000,288,0.0,94,100,100,0,99,612,0,2026-02-17T02:00:00Z
1771297200000,7,21,5.2,1000,297,0.6,92,77,77,0,0,1271,0,2026-02-17T03:00:00Z
1771300800000,7,12,5.3,1001,280,0.0,92,99,32,99,0,2078,0,2026-02-17T04:00:00Z
1771304400000,7,21,4.3,1002,317,0.5,92,100,100,100,0,1449,0,2026-02-17T05:00:00Z
1771308000000,7,20,4.9,1003,327,2.1,87,100,100,100,36,1100,0,2026-02-17T06:00:00Z
1771311600000,8,14,5.1,1003,320,0.1,86,100,100,100,0,497,0,2026-02-17T07:00:00Z
1771315200000,14,28,4.8,1005,328,0.9,86,100,72,100,0,2692,11018,2026-02-17T08:00:00Z
1771318800000,11,25,5.2,1006,305,0.0,78,100,100,70,0,943,14955,2026-02-17T09:00:00Z
1771322400000,14,25,5.8,1007,289,0.0,69,35,33,3,0,9999,35950,2026-02-17T10:00:00Z
1771326000000,16,30,5.7,1007,280,0.0,80,1,1,0,0,9999,29802,2026-02-17T11:00:00Z
1771329600000,15,28,6.5,1008,315,0.0,74,12,12,0,0,9999,52516,2026-02-17T12:00:00Z
1771333200000,13,31,6.4,1008,315,0.0,72,95,70,84,0,1020,40679,2026-02-17T13:00:00Z
1771336800000,17,30,6.5,1009,299,0.0,67,0,0,0,0,9999,61666,2026-02-17T14:00:00Z
